cell_number,neighbours,nation,productivity,national_productivity,border_cell,India,SEA,cell_into_conflict,nation_in_conflict,prod_faced,already_conflict,river,ruggedness,uniform_productivity,uniform_national_productivity,religion,language_group,temp_min,temp_max,religion_1450,ruggedness_vrm,hemid_temp_min,hemid_temp_max,wc_temp_max,wc_temp_min,productivity_gaezv4,national_productivity_gaezv4
398,"366,367,397,399,430,431",398,4.332625672,4.332625672,1,1,0,0,,,0,0,37.78194751,1,1,2,8,-84.91733355,20.56799994,3,0.079990725,-77.37583333,31.59333333,2.948880022,-101.9942467,52.128,52.128
399,"367,368,398,400,431,432",399,10.11075787,10.11075787,1,1,0,0,,,0,0,40.87120493,1,1,2,8,45.24783326,140.6053334,2,0.074752913,56.72883333,139.8828333,133.3663467,40.09472001,1737.696,1737.696
400,"368,369,399,401,432,433",400,27.97130821,27.97130821,1,1,0,0,,,0,1,16.07713908,1,1,1,8,145.8444998,269.1320005,2,0.245150925,159.7875,259.8811667,270.59318,152.6390134,3413.864,3413.864
401,"369,370,400,402,433,434",401,49.1446771,49.1446771,1,1,0,0,,,0,1,1.1042164,1,1,1,8,170.9929999,300.1109996,2,0.477250182,187.06,291.1363333,307.6586066,176.8210134,2896.016,2896.016
402,"370,371,401,403,434,435",402,49.4215614,49.4215614,1,1,0,0,,,0,1,1.322566389,1,1,1,6,178.1898331,305.7891669,2,0.504368732,191.2676667,298.556,315.1635666,181.7570267,2242.536,2242.536
403,"371,372,402,404,435,436",403,58.36872201,58.36872201,1,1,0,0,,,0,1,1.979519909,1,1,1,6,180.7270001,311.7288335,2,0.513061262,185.857,307.7093333,323.2920802,184.8683867,1956.864,1956.864
404,"372,373,403,405,436,437",404,19.12048726,19.12048726,1,1,0,0,,,0,1,2.478299172,1,1,1,6,176.0888335,314.0275005,1,0.370969874,177.6581667,312.751,326.0474464,187.3223801,1883.936,1883.936
405,"373,374,404,406,437,438",405,20.15321096,20.15321096,1,1,0,0,,,0,0,2.329577921,1,1,1,6,169.1271669,320.4840002,1,0.303046113,174.1693333,309.4605,324.9748998,187.52142,2161.384,2161.384
406,"374,375,405,407,438,439",406,21.574688,21.574688,1,1,0,0,,,0,0,1.793797481,1,1,1,6,176.9220001,323.1479996,1,0.348944549,177.0456667,307.0093333,325.8594798,188.79652,2934.072,2934.072
407,"375,376,406,408,439,440",407,20.61060881,20.61060881,1,1,0,0,,,0,1,2.948080834,1,1,1,6,183.0239997,320.3803334,1,0.30350803,181.892,305.8866667,324.68938,194.2160133,2904.928,2904.928
408,"376,377,407,409,440,441",408,14.87406465,14.87406465,1,1,0,0,,,0,0,6.079157338,1,1,1,6,174.5739999,302.3771668,1,0.238040653,176.2195,299.3346667,312.6758133,190.1530066,3256.728,3256.728
409,"377,378,408,410,441,442",409,17.4173823,17.4173823,1,1,0,0,,,0,0,3.329488412,1,1,1,6,187.618,316.9664999,1,0.299935736,193.75,314.6385,329.3530999,201.2228531,2839.232,2839.232
410,"378,379,409,411,442,443",410,17.66906217,17.66906217,1,1,0,0,,,0,0,2.947294796,1,1,1,6,197.0845001,334.8458334,1,0.257122968,203.8986667,324.9385,336.9114331,210.89622,2914.28,2914.28
411,"379,380,410,412,443,444",411,21.5154296,21.5154296,1,1,0,0,,,0,0,3.167857183,1,1,1,6,195.0186668,326.7966665,1,0.2338339,198.5071667,322.3616667,334.1167334,209.1463467,3359.768,3359.768
412,"380,381,411,413,444,445",412,21.70056449,21.70056449,1,1,0,0,,,0,0,2.396582952,1,1,1,1,198.281167,307.3701674,1,0.263476546,199.5578333,316.5033333,329.4026467,206.1743935,3663.28,3663.28
413,"381,382,412,414,445,446",413,23.29132667,23.29132667,1,1,0,0,,,0,0,2.311148641,1,1,1,1,195.9255001,304.7183338,1,0.24634114,198.321,313.3066667,324.7513467,202.164947,3297.408,3297.408
414,"382,383,413,415,446,447",414,27.18100002,27.18100002,1,1,0,0,,,0,1,2.330780633,1,1,1,1,207.2023334,323.4108327,1,0.268017258,210.0546667,326.7225,335.2170333,219.4874534,2060.504,2060.504
415,"383,384,414,416,447,448",415,21.03564912,21.03564912,1,1,0,0,,,0,0,3.324850871,1,1,1,1,207.026333,331.8623333,1,0.295015726,211.7771667,326.7271667,337.3323733,225.3778934,879.512,879.512
416,"384,385,415,417,448,449",416,21.72010026,21.72010026,1,1,0,0,,,0,0,5.223771188,1,1,1,1,199.8426666,314.8444995,1,0.241129254,204.5826667,315.978,325.6729267,216.41414,1084.752,1084.752
